CHOCOS 5/-,SNACKS,KELOCKS,GST 0%,0,0,5,5,4.5,SHEETS,1,,,0
CHOLLE MASALA 100GM,MASALA,EVEREST,GST 18%,50.38,56.74,63,600,580,BUNDAL,10,SREE SAPTHAGIRI ENTERPRISES,,0
CIBACA BRESH 15/-,TOOTH BRESH,GENERAL,GST 18%,9.416,11.11,15,180,150,SHEETS,1,NEW GOLDEN AGENCIES,3306,0
CINTHOL COOL 100GM,SOAP,GODREJ,GST 18%,27.47,32.22,35,35,33.5,NOS,1,NEW GOLDEN AGENCIES,34011190,0
CINTHOL HEALTH 35/-,SOAP,GODREJ,GST 18%,27.47,32.12,35,35,33,NOS,1,NEW GOLDEN AGENCIES,34011190,0
CINTHOL LIME 31/-,SOAP,GODREJ,GST 18%,24.32,28.5,31,30,29,NOS,1,NEW GOLDEN AGENCIES,34011190,0
CINTHOL ORIGINAL 10/-,SOAP,GODREJ,GST 18%,7.88,8.71,10,240,228,BUNDAL,12,NEW GOLDEN AGENCIES,34011190,0
CINTHOL ORIGINAL 100G,SOAP,GODREJ,GST 18%,28.4,33.51,36,35,33.5,NOS,160,NEW GOLDEN AGENCIES,34011190,0
CINTHOL ORIGINAL 150GM,SOAP,GODREJ,GST 18%,38.63,44.8,49,49,47,NOS,1,NEW GOLDEN AGENCIES,34011190,0
CITRUS BAR 10/-,DISHWASH,CITRUS,GST 18%,7.63,9,10,600,570,NOS,60,V.K AGENCIES,8422,0
CITRUS PLUS BAR 5/-,WASHING,CITRUS,GST 18%,3.6,4.25,5,830,788,BOX,175,V.K AGENCIES,34054000,0
CITRUS TUB 500GM,WASHING,CITRUS,GST 0%,30,30,45,40,35,NOS,1,MANI BAJI SHOP,,0
CLASSIC BASMATHI 25KG,RAW RICE,GENERAL,GST 5%,3404.76,3575,210,4200,3200,BAG,25,HIRA TADERS,1006,0
CLASSIC JEERAGASAMBA RICE 25KG,JEERA RICE,GENERAL,GST 0%,77.728,77.28,2800,2100,2050,KGS,25,HIRA TADERS,1006,0
CLEAR DNDRF SHAMP 5.5ML,SHAMPOO,HINDUSTAN,GST 18%,1,1.15,1.5,19,18.5,SHEETS,576,SRI BALAJI TRADING COMPANY,33051090,0
CLINIC PLUS S&L 6.5ML,SHAMPOO,HINDUSTAN,GST 18%,0.68,0.78,1,16,15,SHEETS,960,SRI BALAJI TRADING COMPANY,33051090,0
CLOSEUP 20/-,PASTE,CLOSEUP,GST 18%,15.17,17.9,20,220,209,SHEETS,24,MANI BAJI SHOP,3306,0
CLOSEUP RED ACT 150GM,PASTE,CLOSEUP,GST 18%,66,77.88,85,996,960,BUNDAL,24,MANI BAJI SHOP,3306,0
CLOSEUP RED ACT 80GM,PASTE,CLOSEUP,GST 18%,38.5,45.43,50,600,576,BUNDAL,24,MANI BAJI SHOP,3306,0
CLOSEUP RED HOT ACT,PASTE,CLOSEUP,GST 18%,7,8.26,10,120,108,BUNDAL,24,MANI BAJI SHOP,3306,0
CLOVE,SPICES,GENERAL,GST 0%,550,550,0,750,700,KGS,1,CASH BILL,1207,0
CLOVE 5/-,AMAR,GENERAL,GST 18%,3.33,3.33,5,300,240,BUNDAL,60,MANI BAJI SHOP,907,0
COCONUT COVER,GENERAL,GENERAL,GST 0%,110,110,0,120,115,NOS,1,MANI BAJI SHOP,,0
COCONUT OIL 1LTR,COCONUT OIL,KALESHWARI,GST 5%,173,181.65,220,2100,200,PKT,10,DEEPANATH ENTERPRISES,15131100,0
COCONUT POWDER 1KG,GENERAL,GENERAL,GST 0%,120,120,0,150,120,KGS,1,MANI BAJI SHOP,801,0
COFFEE SPECIAL GOLD 200,BEVERAGES,GENERAL,GST 5%,73.7067,75.84,89,85,80,NOS,1,LAKSHMI ENTERPRISES,9019020,0
COFFEE SPECIAL GOLD 50,BEVERAGES,GENERAL,GST 5%,18.2195,18.75,22,22,20,NOS,1,LAKSHMI ENTERPRISES,9019020,0
COL ACT SALT 10/-,PASTE,GODREJ,GST 18%,7.75,9.15,10,115,110,SHEETS,1,NEW GOLDEN AGENCIES,33061020,0
COL ACT SALT 100+200GM,PASTE,GODREJ,GST 18%,106.3167,125.45,138,130,128,NOS,1,NEW GOLDEN AGENCIES,33061020,0
COL ACT SALT 20/-,PASTE,GODREJ,GST 18%,15.7167,18.55,20,234,228,BUNDLE,1,NEW GOLDEN AGENCIES,33061020,0
COL ACT SALT 200GM,PASTE,GODREJ,GST 18%,78.5819,92.73,100,95,93,NOS,1,NEW GOLDEN AGENCIES,33061020,0
COL ACT SALT 55/-,PASTE,COLGATE,GST 18%,42.4,49.03,55,636,624,DOZEN,10,NEW GOLDEN AGENCIES,33061020,0
COL CIBACA 175GM,PASTE,GODREJ,GST 18%,42.3611,49.99,55,55,52,NOS,72,NEW GOLDEN AGENCIES,33061020,0
COL CIBACA 80GM,PASTE,GODREJ,GST 18%,23.1167,27.28,30,30,28,NOS,1,NEW GOLDEN AGENCIES,33061020,0
COL MAX FRESH 70GM + 20% EXTRA,PASTE,GODREJ,GST 18%,40.8333,48.18,53,52,50,NOS,1,NEW GOLDEN AGENCIES,33061020,0
COL MAX FRESH BLUE 150GM,PASTE,GODREJ,GST 18%,73.1833,86.36,96,90,88,NOS,1,NEW GOLDEN AGENCIES,33061020,0
COL MAX FRESH BLUE 80GM,PASTE,GODREJ,GST 18%,40.8333,48.18,53,50,49,NOS,1,NEW GOLDEN AGENCIES,33061020,0
COL MAX FRESH RED 150GM,PASTE,GODREJ,GST 18%,73.1833,86.36,96,90,88,NOS,1,NEW GOLDEN AGENCIES,33061020,0
COL STRONG TEETH 100GM,PASTE,GODREJ,GST 18%,40.4621,47.75,52,50,48.5,NOS,1,NEW GOLDEN AGENCIES,33061020,0
COL STRONG TEETH 150GM,PASTE,GODREJ,GST 18%,52.3889,61.82,68,65,62,NOS,1,NEW GOLDEN AGENCIES,33061020,0
COL STRONG TEETH 200+100GM,PASTE,GODREJ,GST 18%,114.3833,134.97,147,140,138,NOS,1,NEW GOLDEN AGENCIES,33061020,0
COL STRONG TEETH 200GM,PASTE,GODREJ,GST 18%,73.9208,87.23,95,90,88.5,NOS,1,NEW GOLDEN AGENCIES,33061020,0
COL VEDSHAKTI 100GM,PASTE,GODREJ,GST 18%,41.2583,48.68,52,50,49,NOS,1,NEW GOLDEN AGENCIES,33061020,0
COL VEDSHAKTI 20/-,PASTE,GODREJ,GST 18%,15.4067,18.18,20,20,19,NOS,1,NEW GOLDEN AGENCIES,33061020,0
